datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2023-04-17 23-20-35,342,130,212,458,com.nio.pe.niopower,,
2023-04-17 23-21-05,318,142,176,476,com.nio.pe.niopower,10899,96.9
2023-04-17 23-21-35,306,145,161,487,com.nio.pe.niopower,10899,93.5
2023-04-17 23-22-05,233,120,113,550,com.nio.pe.niopower,10899,76.6
2023-04-17 23-22-35,236,123,113,559,com.nio.pe.niopower,10899,69.2
2023-04-17 23-23-05,136,75,61,664,com.nio.pe.niopower,10899,39.2
2023-04-17 23-23-35,226,89,137,574,com.nio.pe.niopower,10899,42.1
2023-04-17 23-24-05,310,134,176,487,com.nio.pe.niopower,10899,60.5
2023-04-17 23-24-35,239,129,110,560,com.nio.pe.niopower,10899,72.9
2023-04-17 23-25-05,195,112,83,605,com.nio.pe.niopower,10899,83.3
2023-04-17 23-25-35,252,126,126,547,com.nio.pe.niopower,10899,60.5
2023-04-17 23-26-05,227,97,130,573,com.nio.pe.niopower,10899,36.3
2023-04-17 23-26-35,212,91,121,588,com.nio.pe.niopower,10899,29.4
2023-04-17 23-27-05,220,109,111,580,com.nio.pe.niopower,10899,34.2
2023-04-17 23-27-35,273,143,130,527,com.nio.pe.niopower,10899,70.2
2023-04-17 23-28-05,247,134,113,553,com.nio.pe.niopower,10899,44.7
2023-04-17 23-28-35,247,106,141,553,com.nio.pe.niopower,10899,47.0
2023-04-17 23-29-05,286,139,147,513,com.nio.pe.niopower,10899,68.4
2023-04-17 23-29-35,376,210,166,424,com.nio.pe.niopower,10899,68.9
2023-04-17 23-30-05,326,213,113,469,com.nio.pe.niopower,10899,71.8
