datetime,activity window,fps,jank
2023-04-17 23-20-35,,0,0
2023-04-17 23-21-05,,17,2
2023-04-17 23-21-35,,4,2
2023-04-17 23-22-06,,7,3
2023-04-17 23-22-35,,0,0
2023-04-17 23-23-05,,0,0
2023-04-17 23-23-36,,0,0
2023-04-17 23-24-05,,0,0
2023-04-17 23-24-35,,0,0
2023-04-17 23-25-06,,0,0
2023-04-17 23-25-36,,0,0
2023-04-17 23-26-06,,0,0
2023-04-17 23-26-36,,0,0
2023-04-17 23-27-06,,0,0
2023-04-17 23-27-36,,0,0
2023-04-17 23-28-06,,0,0
2023-04-17 23-28-36,,0,0
2023-04-17 23-29-05,,0,0
2023-04-17 23-29-36,,0,0
2023-04-17 23-30-06,,0,0
2023-04-17 23-30-35,,0,0
