2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  9206 shell        20   0 2.2G 6.7M 5.1M S 54.5   0.0   0:27.29 adbd --root_seclabel=u:r:su:s0
  1355 system       18  -2  12G 435M 309M S 45.4   5.7  15:00.01 system_server
 10824 shell        20   0 2.0G 4.7M 3.6M R 15.1   0.0   0:00.10 top -b -n 1 -d 30
  2010 u0_a62       20   0 7.4G 309M 237M S 12.1   4.1   4:01.22 com.android.systemui
 19738 root         20   0    0    0    0 I  6.0   0.0   0:07.14 [kworker/u16:6]
  9079 root         20   0    0    0    0 D  3.0   0.0   0:01.37 [kworker/4:4]
 29380 root         20   0    0    0    0 I  3.0   0.0   0:05.06 [kworker/0:0]
 16352 root         20   0    0    0    0 I  3.0   0.0   0:07.86 [kworker/u16:4]
   718 system       -3  -8 2.9G  50M  43M S  3.0   0.6   4:53.71 surfaceflinger
   636 system       -3 -10 2.3G  13M  12M S  3.0   0.1   3:08.48 android.hardware.graphics.composer@2.2-service
   372 root         20   0    0    0    0 D  3.0   0.0   0:22.96 [ipi_cpu_dvfs_rt]
    24 root         RT   0    0    0    0 S  3.0   0.0   0:01.27 [migration/3]
     8 root         20   0    0    0    0 I  3.0   0.0   0:18.09 [rcu_preempt]
 10500 system       20   0 5.0G  83M  69M S  0.0   1.1   0:00.18 com.iqoo.powersaving
 10494 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:3]
  9592 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1]
  9513 u0_a172      20   0 5.0G  80M  64M S  0.0   1.0   0:00.39 com.google.android.configupdater
  9212 root         20   0    0    0    0 I  0.0   0.0   0:01.06 [kworker/u16:7]
  9202 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/6:1]
  9150 u0_a174      20   0 5.1G  88M  73M S  0.0   1.1   0:00.16 com.google.process.gapps
  9133 root          0 -20    0    0    0 I  0.0   0.0   0:03.01 [kworker/u17:4]
  8501 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/u16:3]
  8479 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/u16:1]
  8436 system       20   0 5.1G  88M  71M S  0.0   1.1   0:00.12 com.vivo.car.networking:vivopermisson
  8380 system       20   0 5.5G 114M  89M S  0.0   1.5   0:00.72 com.vivo.car.networking
  8365 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:0]
  8357 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:4]
  8347 root         20   0    0    0    0 I  0.0   0.0   0:00.24 [kworker/5:2]
  8295 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:3]
  7396 root          0 -20    0    0    0 I  0.0   0.0   0:07.44 [kworker/u17:2]
  7167 u0_a160      20   0 5.5G 129M 103M S  0.0   1.7   0:01.36 com.bbk.appstore
  6584 root         20   0    0    0    0 I  0.0   0.0   0:00.21 [kworker/4:3]
  6473 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:3]
  6446 root         20   0    0    0    0 I  0.0   0.0   0:00.16 [kworker/4:2]
  6336 root         20   0    0    0    0 I  0.0   0.0   0:01.48 [kworker/2:0]
  6106 root         20   0    0    0    0 I  0.0   0.0   0:01.77 [kworker/1:1]
  6098 root          0 -20    0    0    0 I  0.0   0.0   0:08.77 [kworker/u17:0]
  5836 u0_a103      20   0 5.3G 107M  88M S  0.0   1.4   0:02.17 com.iqoo.secure
