datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2023-04-17 23-20-35,0.0,0.0,0.0,com.nio.pe.niopower,10899,0.0,0.0,0.0
2023-04-17 23-21-06,973.14,828.26,144.88,com.nio.pe.niopower,10899,895.63,145.4,1041.03
2023-04-17 23-21-36,1076.27,915.0,161.27,com.nio.pe.niopower,10899,911.12,162.19,1073.3
2023-04-17 23-22-06,8338.34,7909.15,429.2,com.nio.pe.niopower,10899,7905.4,427.08,8332.48
2023-04-17 23-22-36,8346.6,7914.57,432.03,com.nio.pe.niopower,10899,7910.69,429.81,8340.5
2023-04-17 23-23-06,8385.39,7943.49,441.9,com.nio.pe.niopower,10899,7939.61,439.68,8379.29
2023-04-17 23-23-36,8455.1,7984.23,470.87,com.nio.pe.niopower,10899,7980.35,468.65,8449.0
2023-04-17 23-24-06,8478.16,7996.98,481.18,com.nio.pe.niopower,10899,7993.1,478.96,8472.06
2023-04-17 23-24-36,8486.72,8002.41,484.31,com.nio.pe.niopower,10899,7998.53,482.09,8480.62
2023-04-17 23-25-06,8534.05,8022.48,511.56,com.nio.pe.niopower,10899,8018.6,509.34,8527.94
2023-04-17 23-25-36,10699.77,10107.91,591.86,com.nio.pe.niopower,10899,10104.03,589.78,10693.81
2023-04-17 23-26-06,10708.96,10114.65,594.31,com.nio.pe.niopower,10899,10110.77,592.09,10702.86
2023-04-17 23-26-36,10723.14,10124.56,598.58,com.nio.pe.niopower,10899,10120.68,596.36,10717.04
2023-04-17 23-27-06,10746.75,10141.44,605.31,com.nio.pe.niopower,10899,10137.56,603.09,10740.65
2023-04-17 23-27-36,10760.84,10149.31,611.53,com.nio.pe.niopower,10899,10145.43,609.31,10754.74
2023-04-17 23-28-06,10870.4,10235.59,634.81,com.nio.pe.niopower,10899,10231.71,632.58,10864.3
2023-04-17 23-28-36,10908.8,10259.6,649.21,com.nio.pe.niopower,10899,10255.71,646.99,10902.7
2023-04-17 23-29-06,10927.78,10269.88,657.9,com.nio.pe.niopower,10899,10266.0,655.75,10921.75
2023-04-17 23-29-36,10950.79,10282.5,668.29,com.nio.pe.niopower,10899,10278.62,666.14,10944.76
2023-04-17 23-30-06,10973.99,10297.83,676.17,com.nio.pe.niopower,10899,10293.95,674.02,10967.96
