datetime,activity window,fps,jank
2023-04-17 23-32-24,,0,0
2023-04-17 23-32-54,,51,3
2023-04-17 23-33-23,,2,3
2023-04-17 23-33-54,,4,2
2023-04-17 23-34-24,,4,1
2023-04-17 23-34-54,,4,1
2023-04-17 23-35-24,,5,2
2023-04-17 23-35-54,,0,0
2023-04-17 23-36-24,,0,0
2023-04-17 23-36-54,,0,0
2023-04-17 23-37-24,,0,0
2023-04-17 23-37-54,,0,0
2023-04-17 23-38-24,,0,0
2023-04-17 23-38-54,,0,0
2023-04-17 23-39-24,,0,0
2023-04-17 23-39-54,,0,0
2023-04-17 23-40-24,,0,0
2023-04-17 23-40-54,,0,0
2023-04-17 23-41-24,,0,0
2023-04-17 23-41-54,,0,0
2023-04-17 23-42-24,,0,0
