datatime,package,pid,pss,java_heap,native_heap,system
2023-04-17 23-32-23,com.yiyitech.powerex,12110,93.6,5.37,3.66,64.4
2023-04-17 23-32-53,com.yiyitech.powerex,12110,321.22,18.71,122.4,55.53
2023-04-17 23-33-23,com.yiyitech.powerex,12110,329.83,19.09,127.75,55.75
2023-04-17 23-33-53,com.yiyitech.powerex,12110,383.88,25.95,123.96,99.37
2023-04-17 23-34-23,com.yiyitech.powerex,12110,412.61,22.81,112.31,96.98
2023-04-17 23-34-53,com.yiyitech.powerex,12110,356.87,22.09,102.9,96.81
2023-04-17 23-35-23,com.yiyitech.powerex,12110,385.57,28.06,118.36,104.02
2023-04-17 23-35-53,com.yiyitech.powerex,12110,380.36,25.7,113.09,103.48
2023-04-17 23-36-23,com.yiyitech.powerex,12110,359.55,24.82,115.67,102.91
2023-04-17 23-36-53,com.yiyitech.powerex,12110,365.85,26.04,109.38,108.78
2023-04-17 23-37-23,com.yiyitech.powerex,12110,423.64,23.46,59.13,183.9
2023-04-17 23-37-53,com.yiyitech.powerex,12110,423.74,24.59,46.13,199.17
2023-04-17 23-38-23,com.yiyitech.powerex,12110,422.87,23.93,42.61,206.52
2023-04-17 23-38-53,com.yiyitech.powerex,12110,422.62,23.87,40.14,208.82
2023-04-17 23-39-23,com.yiyitech.powerex,12110,422.73,24.33,40.09,208.47
2023-04-17 23-39-53,com.yiyitech.powerex,12110,416.02,25.69,44.71,204.75
2023-04-17 23-40-23,com.yiyitech.powerex,12110,413.19,26.48,41.88,204.12
2023-04-17 23-40-53,com.yiyitech.powerex,12110,412.48,26.0,41.3,204.21
2023-04-17 23-41-23,com.yiyitech.powerex,12110,420.05,26.43,44.88,206.74
2023-04-17 23-41-53,com.yiyitech.powerex,12110,420.31,26.46,44.89,206.69
