2023-04-17 23-32-24 top info:
Tasks: 750 total,   4 running, 744 sleeping,   0 stopped,   2 zombie
  Mem:  7703324K total,  7035380K used,   667944K free,   5562368 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2652972K cached
800%cpu 157%user   3%nice 267%sys 373%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  9206 shell        20   0 2.2G 7.1M 5.1M R 63.3   0.0   0:37.51 adbd --root_seclabel=u:r:su:s0
 13888 shell        20   0 2.0G 4.8M 3.6M R 20.0   0.0   0:00.07 top -b -n 1 -d 30
  1355 system       18  -2  12G 425M 323M S 20.0   5.6  17:52.40 system_server
  9212 root         20   0    0    0    0 R  6.6   0.0   0:02.38 [kworker/u16:7]
 19738 root         20   0    0    0    0 I  6.6   0.0   0:08.59 [kworker/u16:6]
   638 system       20   0 2.0G 3.7M 3.7M S  3.3   0.0   0:04.37 android.hardware.memtrack@1.0-service
   400 root         RT   0    0    0    0 S  3.3   0.0   0:00.11 [core_ctl_v1/4]
    35 root         20   0    0    0    0 S  3.3   0.0   0:00.54 [ksoftirqd/5]
     7 root         20   0    0    0    0 S  3.3   0.0   0:01.47 [ksoftirqd/0]
 13814 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/0:1]
 13700 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:2]
 13611 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1]
 13552 root         20   0    0    0    0 I  0.0   0.0   0:00.33 [kworker/u16:1]
 13436 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:0]
 13412 u0_a378      20   0 5.3G 112M  84M D  0.0   1.4   0:02.05 com.geega.livan.livan
 13384 u0_a127      20   0 5.0G  86M  71M S  0.0   1.1   0:00.17 com.vivo.vivo3rdalgoservice
 13370 root          0 -20    0    0    0 I  0.0   0.0   0:01.10 [kworker/u17:0]
 13342 u0_a140      20   0 5.8G 106M  87M S  0.0   1.4   0:00.48 com.android.camera
 12979 root         20   0    0    0    0 I  0.0   0.0   0:00.07 [kworker/5:1]
 12557 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:3]
 12500 root         20   0    0    0    0 I  0.0   0.0   0:00.63 [kworker/3:1]
 12489 root         20   0    0    0    0 I  0.0   0.0   0:00.34 [kworker/u16:0]
 12452 root         20   0    0    0    0 I  0.0   0.0   0:00.77 [kworker/1:0]
 12425 root          0 -20    0    0    0 I  0.0   0.0   0:02.85 [kworker/u17:3]
 12424 root          0 -20    0    0    0 I  0.0   0.0   0:02.32 [kworker/u17:1]
 12357 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:1]
 12356 root         20   0    0    0    0 I  0.0   0.0   0:02.09 [kworker/4:0]
 12328 root         20   0    0    0    0 I  0.0   0.0   0:00.52 [kworker/2:1]
 12274 u0_a382      20   0    0    0    0 Z  0.0   0.0   0:00.07 [work_thread]
 12238 u0_a382      20   0    0    0    0 Z  0.0   0.0   0:00.05 [ZIDThreadPoolEx]
 12168 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 12110 u0_a382      20   0 6.5G 135M 113M D  0.0   1.7   0:02.86 com.yiyitech.powerex
 11985 root         20   0    0    0    0 I  0.0   0.0   0:00.21 [kworker/3:0]
 11937 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/7:1]
 11912 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:2]
 11661 root         20   0    0    0    0 I  0.0   0.0   0:00.08 [kworker/0:3]
 10500 system       20   0 5.0G  82M  69M S  0.0   1.0   0:00.18 com.iqoo.powersaving
 10494 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:3]
  9513 u0_a172      20   0 5.0G  78M  64M S  0.0   1.0   0:00.39 com.google.android.configupdater
  9202 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/6:1]
  9150 u0_a174      20   0 5.1G  87M  73M S  0.0   1.1   0:00.16 com.google.process.gapps
  9079 root         20   0    0    0    0 I  0.0   0.0   0:03.62 [kworker/4:4]
  8436 system       20   0 5.1G  86M  71M S  0.0   1.1   0:00.13 com.vivo.car.networking:vivopermisson
  8380 system       20   0 5.5G 109M  90M S  0.0   1.4   0:01.09 com.vivo.car.networking
  8365 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/7:0]
  8347 root         20   0    0    0    0 I  0.0   0.0   0:00.42 [kworker/5:2]
  8295 root         20   0    0    0    0 I  0.0   0.0   0:00.34 [kworker/2:3]
  7396 root          0 -20    0    0    0 I  0.0   0.0   0:10.79 [kworker/u17:2]
  7167 u0_a160      20   0 5.7G 123M 103M S  0.0   1.6   0:01.48 com.bbk.appstore
  5836 u0_a103      20   0 5.3G 105M  88M S  0.0   1.3   0:02.17 com.iqoo.secure
  5568 u0_a52       20   0 5.1G  88M  72M S  0.0   1.1   0:00.37 com.android.packageinstaller
  5541 root         20   0    0    0    0 I  0.0   0.0   0:00.61 [kworker/5:0]
  5324 root         20   0    0    0    0 I  0.0   0.0   0:03.27 [kworker/3:3]
  5212 u0_a94       20   0 5.0G  98M  84M S  0.0   1.2   0:02.12 com.vivo.cipherchain
  4837 root         20   0 2.0G 3.6M 2.8M S  0.0   0.0   0:00.36 iptables-restore --noflush -w -v
  4719 root         20   0 2.0G 3.7M 2.9M S  0.0   0.0   0:00.26 ip6tables-restore --noflush -w -v
  4366 u0_a214      20   0 5.7G 117M 100M S  0.0   1.5   0:04.51 com.vivo.game
  4324 u0_a99       20   0 5.2G  85M  73M S  0.0   1.1   0:00.83 com.vivo.aiservice:ir
  4294 system       20   0 5.1G  86M  74M S  0.0   1.1   0:00.25 com.vivo.gamecube
  4239 shell        20   0 5.0G  78M  66M S  0.0   1.0   0:00.21 com.android.shell
  4173 u0_a92       20   0 5.0G  81M  69M S  0.0   1.0   0:00.21 com.vivo.deformer
  4010 u0_a59       20   0 5.0G  80M  68M S  0.0   1.0   0:00.19 com.android.externalstorage
  3830 u0_a79       20   0 5.0G  89M  74M S  0.0   1.1   0:00.45 com.android.documentsui
  3811 root          0 -20    0    0    0 I  0.0   0.0   0:13.25 [kworker/u17:5]
