datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2023-04-17 23-32-23,0.0,0.0,0.0,com.yiyitech.powerex,12110,0.0,0.0,0.0
2023-04-17 23-32-53,1568.81,1446.45,122.36,com.yiyitech.powerex,12110,1446.45,122.43,1568.88
2023-04-17 23-33-23,1720.9,1576.73,144.17,com.yiyitech.powerex,12110,1576.67,144.17,1720.85
2023-04-17 23-33-53,3388.89,3147.75,241.14,com.yiyitech.powerex,12110,3147.81,241.14,3388.95
2023-04-17 23-34-23,3406.29,3158.27,248.02,com.yiyitech.powerex,12110,3158.21,248.02,3406.23
2023-04-17 23-34-53,3447.95,3186.12,261.83,com.yiyitech.powerex,12110,3186.06,261.83,3447.89
2023-04-17 23-35-23,4170.28,3856.84,313.44,com.yiyitech.powerex,12110,3856.78,313.44,4170.22
2023-04-17 23-35-53,4202.15,3877.78,324.37,com.yiyitech.powerex,12110,3877.72,324.37,4202.09
2023-04-17 23-36-23,4226.25,3894.51,331.74,com.yiyitech.powerex,12110,3894.46,331.74,4226.19
2023-04-17 23-36-53,4309.53,3928.88,380.64,com.yiyitech.powerex,12110,3928.83,380.64,4309.47
2023-04-17 23-37-23,48183.57,47261.99,921.59,com.yiyitech.powerex,12110,47261.93,921.59,48183.51
2023-04-17 23-37-53,48215.94,47280.24,935.7,com.yiyitech.powerex,12110,47280.24,935.7,48215.94
2023-04-17 23-38-23,48237.02,47293.98,943.04,com.yiyitech.powerex,12110,47294.04,943.04,48237.08
2023-04-17 23-38-53,48255.87,47308.46,947.4,com.yiyitech.powerex,12110,47308.41,947.4,48255.81
2023-04-17 23-39-23,48264.64,47316.28,948.36,com.yiyitech.powerex,12110,47316.23,948.36,48264.59
2023-04-17 23-39-53,48293.6,47338.19,955.41,com.yiyitech.powerex,12110,47338.19,955.41,48293.6
2023-04-17 23-40-23,48331.14,47366.22,964.92,com.yiyitech.powerex,12110,47366.16,964.92,48331.08
2023-04-17 23-40-53,48354.04,47382.83,971.21,com.yiyitech.powerex,12110,47382.83,971.21,48354.04
2023-04-17 23-41-23,48382.92,47403.61,979.32,com.yiyitech.powerex,12110,47403.55,979.32,48382.87
2023-04-17 23-41-53,48411.65,47421.0,990.64,com.yiyitech.powerex,12110,47420.95,990.64,48411.59
